Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Mckesson corp.,MCK,"",48153.0,7509000.0,0.0615,0.0354,62,13807.0,40.199732,addition,0.0230972,Q3 2010,HEALTH CARE,"","",165.7626
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",54011.0,7411000.0,0.0607,0.0819,63,-42873.0,-44.251889,reduction,0.0697636,Q2 2015,CONSUMER DISCRETIONARY,"","",99.4713
Xilinx  inc,XLNX,"",109432.0,7378000.0,0.0604,0.0168,64,74029.0,209.103748,addition,0.0429448,Q4 2015,INFORMATION TECHNOLOGY,"","",68.0731
Skyworks solutions  inc.,SWKS,"",74368.0,7061000.0,0.0578,0.0412,65,14053.0,23.299345,addition,0.0407563,Q1 2015,INFORMATION TECHNOLOGY,"","",98.6687
Juniper networks inc,JNPR,"",246506.0,7025000.0,0.0575,0.0809,66,-186757.0,-43.104765,reduction,0.0657472,Q3 2013,INFORMATION TECHNOLOGY,"","",25.9718
Capri holdings ltd,CPRI,"",109951.0,6921000.0,0.0567,0.1491,67,-354486.0,-76.32596,reduction,0.0723029,Q4 2016,INDUSTRIALS,"","",46.9285
Canadian national railway co.,CNI,"",83075.0,6872000.0,0.0563,0.0801,68,-61442.0,-42.515413,reduction,0.0111870,Q2 2017,TRANSPORTS,"","",81.05
Newfield exploration co.  inc,NFX,"",577395.41,6816000.0,0.0558,0.0803,69,-500307.68,-46.423517,reduction,0.1082918,Q1 2017,ENERGY,"","",29.6602
Liberty global plc class a,LBTYA,"",183132.0,6563000.0,0.0537,0.0228,70,82732.0,82.40239,addition,0.0224674,Q3 2017,COMMUNICATIONS,"","",34.7819
F5 networks inc,FFIV,"",48696.0,6390000.0,0.0523,0.0056,71,41722.0,598.250645,addition,0.0787451,Q3 2017,INFORMATION TECHNOLOGY,"","",129.6933
Welltower inc,WELL,"",99785.0,6363000.0,0.0521,0.0116,72,75128.0,304.692379,addition,0.0270508,Q3 2017,REAL ESTATE,"","",65.3786
Tc energy corp,TRP,"",129668.0,6332000.0,0.0518,0.0628,73,-60100.0,-31.67025,reduction,0.0147761,Q2 2016,ENERGY,"","",47.67
Autozone inc.,AZO,"",8861.0,6303000.0,0.0516,0.0858,74,-12638.0,-58.784129,reduction,0.0323985,Q1 2016,CONSUMER DISCRETIONARY,"","",581.6298
Applied materials inc.,AMAT,"",117284.0,5996000.0,0.0491,0.0621,75,-60363.0,-33.979183,reduction,0.0109972,Q1 2013,INFORMATION TECHNOLOGY,"","",41.31
Bank of montreal (nyse),BMO,"",74326.0,5967000.0,0.0489,0.0646,76,-53284.0,-41.755348,reduction,0.0114524,Q2 2017,FINANCE,"","",73.44
Oreilly automotive inc.,ORLY,"",24375.0,5863000.0,0.048,0.0546,77,-13429.0,-35.522696,reduction,0.0286664,Q1 2016,CONSUMER DISCRETIONARY,"","",217.0832
Macys inc,M,"",230910.0,5817000.0,0.0476,0.2161,78,-1245163.0,-84.356465,reduction,0.0758176,Q4 2008,CONSUMER DISCRETIONARY,"","",29.8678
Xcel energy inc. (northern states power co. (mn)),XEL,"",120718.0,5808000.0,0.0475,0.0124,79,81634.0,208.868079,addition,0.0237746,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",47.727
Microchip technology inc,MCHP,"",64303.0,5651000.0,0.0463,0.1101,80,-118442.0,-64.812717,reduction,0.0274905,Q1 2013,INFORMATION TECHNOLOGY,"","",80.8331
Newmont mining corp. (holding co.),NEM,"",148185.0,5560000.0,0.0455,0.0145,81,90676.0,157.672712,addition,0.0277843,Q1 2012,MATERIALS,"","",32.9596
International business machines corp,IBM,"",35797.0,5492000.0,0.045,0.0909,82,-57635.0,-61.686574,reduction,0.0038666,Q3 2016,INFORMATION TECHNOLOGY,"","",158.0175
Td ameritrade holding corp class a,AMTD,"",107216.0,5482000.0,0.0449,0.0022,83,100633.0,1528.679933,addition,0.0189020,Q3 2017,FINANCE,"","",50.9869
Royal caribbean cruises ltd,RCL,"",44808.0,5345000.0,0.0438,0.1105,84,-94130.0,-67.749644,reduction,0.0190510,Q1 2016,CONSUMER DISCRETIONARY,"","",114.0605
Foot locker inc. (f. w. woolworth),FL,"",109815.0,5148000.0,0.0421,0.0579,85,-135299.0,-55.198397,reduction,0.0885605,Q2 2015,CONSUMER DISCRETIONARY,"","",51.9202
Xl group plc,XL,"",143524.0,5046000.0,0.0413,0.0153,86,85842.0,148.819389,addition,0.0560597,Q3 2017,FINANCE,"","",36.8841
Scana corp .,SCG,"",126618.0,5037000.0,0.0412,0.0304,87,33143.0,35.456539,addition,0.0885936,Q1 2017,UTILITIES AND TELECOMMUNICATIONS,"","",46.2101
Brookfield asset management inc,BAM,"",113009.0,4935000.0,0.0404,0.0512,88,-72383.0,-39.043217,reduction,0.0117794,Q2 2017,REAL ESTATE,"","",39.21
Caterpillar inc.,CAT,"",30363.0,4785000.0,0.0392,0.0404,89,-17888.0,-37.072807,reduction,0.0051036,Q3 2017,INDUSTRIALS,"","",124.71
United states steel corp.,X,"",132742.0,4671000.0,0.0382,0.0833,90,-351140.0,-72.567279,reduction,0.0758569,Q1 2017,MATERIALS,"","",25.66
Bio-rad laboratories inc class a,BIO,"",19255.0,4596000.0,0.0376,,91,19255.0,,new,0.0647009,Q4 2017,HEALTH CARE,"","",238.67
Manulife financial corp,MFC,"",218974.0,4582000.0,0.0375,0.0517,92,-161971.0,-42.518211,reduction,0.0110657,Q4 2016,FINANCE,"","",18.76
Ventas  inc.,VTR,"",74800.0,4489000.0,0.0368,0.012,93,47400.0,172.992701,addition,0.0210018,Q3 2017,REAL ESTATE,"","",61.8855
Darden restaurants inc,DRI,"",45733.0,4391000.0,0.0359,0.0473,94,-43803.0,-48.922221,reduction,0.0369799,Q2 2015,CONSUMER DISCRETIONARY,"","",75.4738
Boston scientific inc.,BSX,"",176079.0,4365000.0,0.0357,,95,176079.0,,new,0.0128225,Q4 2017,HEALTH CARE,"","",24.79
Canadian imperial bank of commerce (nyse),CM,"",44019.0,4305000.0,0.0352,0.0417,96,-27200.0,-38.192055,reduction,0.0100947,Q2 2017,FINANCE,"","",81.16
Discovery inc series a,DISCA,"",191669.0,4290000.0,0.0351,0.1453,97,-825324.0,-81.153361,reduction,0.0350400,Q2 2017,COMMUNICATIONS,"","",23.8257
Chubb limited,CB,"",28931.0,4228000.0,0.0346,0.0062,98,22459.0,347.017923,addition,0.0062322,Q3 2017,FINANCE,"","",145.3291
Maxim integrated products inc,MXIM,"",80639.0,4216000.0,0.0345,,99,80639.0,,new,0.0369548,Q4 2013,INFORMATION TECHNOLOGY,"","",52.28
Salesforce.com inc.,CRM,"",40841.0,4175000.0,0.0342,0.052,100,-42178.0,-50.805237,reduction,0.0056826,Q4 2016,INFORMATION TECHNOLOGY,"","",85.0387
Bce inc. (bell telephone of canada),BCE,"",84392.0,4067000.0,0.0333,0.0492,101,-72660.0,-46.264931,reduction,0.0093723,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",45.04
Crown holdings inc. (crown cork & seal),CCK,"",71927.0,4046000.0,0.0331,,102,71927.0,,new,0.0535689,Q2 2016,MATERIALS,"","",56.25
Allstate corp (the),ALL,"",38305.0,4011000.0,0.0328,0.0081,103,25151.0,191.204196,addition,0.0106750,Q3 2017,FINANCE,"","",100.3145
Avalonbay communities  inc.,AVB,"",22293.0,3977000.0,0.0326,0.0137,104,10828.0,94.44396,addition,0.0161438,Q3 2017,REAL ESTATE,"","",178.4151
Ralph lauren corp. class a,RL,"",38284.0,3970000.0,0.0325,0.0595,105,-62226.0,-61.910258,reduction,0.0470898,Q4 2016,CONSUMER DISCRETIONARY,"","",74.2343
Ca inc,CA,"",116893.0,3890000.0,0.0318,0.0492,106,-102733.0,-46.776338,reduction,0.0279288,Q3 2016,INFORMATION TECHNOLOGY,"","",33.38
Southern co.,SO,"",79298.0,3813000.0,0.0312,,107,79298.0,,new,0.0079011,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,"","",48.09
Carnival corp.,CCL,"",57144.0,3793000.0,0.0311,0.0278,108,-7042.0,-10.97124,reduction,0.0106644,Q1 2016,CONSUMER DISCRETIONARY,"","",54.2609
Southwest airlines co.,LUV,"",57647.0,3773000.0,0.0309,,109,57647.0,,new,0.0097149,Q1 2017,TRANSPORTS,"","",65.45
Franco-nevada corp,FNV,"",47045.0,3772000.0,0.0309,0.0331,110,-16841.0,-26.361018,reduction,0.0253298,Q1 2013,MATERIALS,"","",50.4249
Edwards lifesciences corp.,EW,"",32832.0,3700000.0,0.0303,0.0878,111,-86915.0,-72.582194,reduction,0.0155146,Q1 2016,HEALTH CARE,"","",104.1309
Illinois tool works inc,ITW,"",21940.0,3661000.0,0.03,0.0168,112,5045.0,29.860906,addition,0.0064040,Q1 2016,INDUSTRIALS,"","",152.3037
Sherwin-williams co.,SHW,"",8751.0,3588000.0,0.0294,0.0182,113,1190.0,15.738659,addition,0.0093584,Q3 2017,MATERIALS,"","",365.1112
3m co. (minnesota mining & manufacturing),MMM,"",15240.0,3587000.0,0.0294,,114,15240.0,,new,0.0025619,Q4 2017,INDUSTRIALS,"","",235.37
Goldcorp inc.,GG,"",270418.0,3456000.0,0.0283,0.0293,115,-66858.0,-19.822934,reduction,0.0311901,Q4 2012,MATERIALS,"","",17.982
Las vegas sands corp,LVS,"",49383.0,3432000.0,0.0281,0.0265,116,-12158.0,-19.755935,reduction,0.0062472,Q3 2016,CONSUMER DISCRETIONARY,"","",58.4406
Agnico-eagle mines  ltd,AEM,"",74067.0,3425000.0,0.028,0.0286,117,-20484.0,-21.664499,reduction,0.0319709,Q4 2012,MATERIALS,"","",40.3392
Rio tinto plc (nyse) adr,RIO,"",64597.0,3419000.0,0.028,0.0235,118,-9783.0,-13.152729,reduction,0.0047862,Q1 2013,MATERIALS,"","",39.1004
Sun life financial inc,SLF,"",82129.0,3401000.0,0.0278,0.0355,119,-51161.0,-38.383225,reduction,0.0134202,Q4 2016,FINANCE,"","",35.75
American international group  inc.,AIG,"",56920.0,3391000.0,0.0278,0.0031,120,49342.0,651.121668,addition,0.0063318,Q3 2017,FINANCE,"","",59.821
Bhp group ltd,BHP,"",73590.0,3384000.0,0.0277,0.0228,121,-10203.0,-12.176435,reduction,0.0045836,Q1 2013,ENERGY,"","",42.8835
Bp plc adr (british petroleum),BP,"",80376.0,3378000.0,0.0277,0.0249,122,-16213.0,-16.785555,reduction,0.0024285,Q1 2013,ENERGY,"","",38.9108
Canadian pacific railway ltd. (2001),CP,"",18357.0,3365000.0,0.0275,0.0343,123,-12146.0,-39.819034,reduction,0.0126626,Q2 2017,TRANSPORTS,"","",160.81
Chevron corp. (standard oil of california),CVX,"",26800.0,3355000.0,0.0275,0.0247,124,-4498.0,-14.371525,reduction,0.0014110,Q3 2012,ENERGY,"","",112.4241
Exxonmobil corp. (standard oil of new jersey),XOM,"",39874.0,3335000.0,0.0273,0.0236,125,-2971.0,-6.934298,reduction,0.0009411,Q3 2012,ENERGY,"","",88.6246
Te connectivity ltd,TEL,"",34458.0,3275000.0,0.0268,0.0105,126,15691.0,83.609527,addition,0.0098112,Q4 2013,INFORMATION TECHNOLOGY,"","",83.5318
Telus corp. non-voting shares,TU,"",84409.0,3208000.0,0.0263,0.0309,127,-43800.0,-34.162968,reduction,0.0259066,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,"","",34.52
General electric co,GE,"",191124.96,3207000.0,0.0263,0.1326,128,-658924.24,-77.516012,reduction,0.0021191,Q1 2017,INDUSTRIALS,"","",28.6244
Whirlpool corp. (de),WHR,"",18899.0,3187000.0,0.0261,,129,18899.0,,new,0.0266183,Q1 2015,CONSUMER DISCRETIONARY,"","",168.64
Wheaton precious metals corp,WPM,"",143565.0,3180000.0,0.026,0.0235,130,-40159.0,-21.858331,reduction,0.0325183,Q4 2012,MATERIALS,"","",20.6474
Kellogg co.,K,"",45511.0,3094000.0,0.0253,0.0808,131,-147522.0,-76.423202,reduction,0.0131736,Q2 2016,CONSUMER STAPLES,"","",63.2298
American campus communities inc,ACC,"",75024.0,3078000.0,0.0252,,132,75024.0,,new,0.0549908,Q4 2017,REAL ESTATE,"","",41.03
Mettler-toledo international  inc.,MTD,"",4744.0,2939000.0,0.0241,,133,4744.0,,new,0.0185457,Q4 2017,INFORMATION TECHNOLOGY,"","",619.52
Petroleo brasileiro sa (petrobras) adr,PBR,"",285175.0,2934000.0,0.024,0.0233,134,-61419.0,-17.720734,reduction,0.0043723,Q1 2013,ENERGY,"","",9.6246
Conocophillips (phillips petroleum),COP,"",52880.0,2903000.0,0.0238,0.0215,135,-11015.0,-17.239221,reduction,0.0044232,Q1 2013,ENERGY,"","",55.9348
Magna international inc. class a,MGA,"",50531.0,2873000.0,0.0235,0.0285,136,-29151.0,-36.584172,reduction,0.0140029,Q2 2017,CONSUMER DISCRETIONARY,"","",46.33
Companhia vale de rio doce s.a. adr,VALE,"",229438.0,2806000.0,0.023,0.0193,137,-55883.0,-19.58601,reduction,0.0044522,Q1 2013,MATERIALS,"","",10.6996
Amgen  inc.,AMGN,"",15987.0,2780000.0,0.0228,0.0741,138,-43286.0,-73.028192,reduction,0.0022023,Q1 2017,HEALTH CARE,"","",176.476
American tower corp.  class a,AMT,"",19326.0,2757000.0,0.0226,0.0386,139,-22741.0,-54.059001,reduction,0.0045068,Q1 2016,UTILITIES AND TELECOMMUNICATIONS,"","",136.68
Eog resources inc,EOG,"",25353.0,2736000.0,0.0224,0.0199,140,-5257.0,-17.174126,reduction,0.0043847,Q1 2013,ENERGY,"","",94.1978
Target corp.,TGT,"",41559.0,2712000.0,0.0222,0.0891,141,-183566.0,-81.539589,reduction,0.0076083,Q1 2015,CONSUMER DISCRETIONARY,"","",52.29
Great plains energy inc.,GXP,"",49064.11,2645000.0,0.0217,0.0019,142,43477.59,778.258916,addition,0.0380446,Q3 2017,UTILITIES,"","",32.0191
Teck resources ltd,TECK,"",98469.0,2583000.0,0.0211,0.0214,143,-53554.0,-35.227564,reduction,0.0172601,Q4 2012,MATERIALS,"","",20.2401
Nucor corp.,NUE,"",40092.0,2549000.0,0.0209,0.043,144,-74371.0,-64.973834,reduction,0.0126107,Q2 2017,MATERIALS,"","",57.87
Occidental petroleum corp.,OXY,"",34493.0,2541000.0,0.0208,0.0175,145,-6130.0,-15.089974,reduction,0.0045074,Q2 2012,ENERGY,"","",77.7437
Imperial oil ltd. (ase),IMO,"",80684.0,2526000.0,0.0207,0.0216,146,-20478.0,-20.242779,reduction,0.0096330,Q4 2011,ENERGY,"","",35.8239
Aon plc,AON,"",18605.0,2493000.0,0.0204,,147,18605.0,,new,0.0074450,Q4 2017,FINANCE,"","",134.0
Ball corp.,BLL,"",65558.0,2481000.0,0.0203,,148,65558.0,,new,0.0187276,Q2 2017,MATERIALS,"","",37.85
Coca-cola european partners plc,CCEP,"",62121.0,2476000.0,0.0203,0.0223,149,-17686.0,-22.160963,reduction,0.0128248,Q2 2014,CONSUMER STAPLES,"","",41.154
Barrick gold corp,GOLD,"",160951.0,2335000.0,0.0191,0.0279,150,-97660.0,-37.763282,reduction,0.0138006,Q2 2017,MATERIALS,"","",15.91
Coca cola co.,KO,"",50302.0,2308000.0,0.0189,,151,50302.0,,new,0.0011806,Q4 2017,CONSUMER STAPLES,"","",45.88
Rogers communications inc. class b (nyse),RCI,"",43038.0,2200000.0,0.018,0.0251,152,-29555.0,-40.713292,reduction,0.0083600,Q2 2017,COMMUNICATIONS,"","",47.21
Adobe systems  inc.,ADBE,"",12468.0,2185000.0,0.0179,,153,12468.0,,new,0.0025293,Q4 2015,INFORMATION TECHNOLOGY,"","",175.24
Apple inc,AAPL,"",12680.0,2146000.0,0.0176,0.0209,154,-7485.0,-37.11877,reduction,0.0002493,Q3 2017,INFORMATION TECHNOLOGY,"","",154.12
Centerpoint energy inc,CNP,"",75247.0,2134000.0,0.0175,0.0086,155,31153.0,70.651336,addition,0.0174575,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,"","",28.8581
Cgi,GIB,"",38589.0,2104000.0,0.0172,0.0187,156,-15400.0,-28.524329,reduction,0.0134353,Q2 2017,INFORMATION TECHNOLOGY,"","",51.07
Cognizant technology solutions corp,CTSH,"",28757.0,2042000.0,0.0167,0.0417,157,-56938.0,-66.442616,reduction,0.0048906,Q2 2014,INFORMATION TECHNOLOGY,"","",72.54
Medtronic plc,MDT,"",25152.0,2031000.0,0.0166,,158,25152.0,,new,0.0018568,Q4 2017,HEALTH CARE,"","",80.75
Quest diagnostics  inc.,DGX,"",20560.0,2025000.0,0.0166,0.1307,159,-187561.0,-90.121131,reduction,0.0150844,Q3 2017,HEALTH CARE,"","",93.64
General mills co.,GIS,"",33649.0,1995000.0,0.0163,0.0108,160,2632.0,8.485669,addition,0.0059133,Q3 2016,CONSUMER STAPLES,"","",55.7043
Comcast corp.  class a,CMCSA,"",47672.0,1909000.0,0.0156,,161,47672.0,,new,0.0010264,Q2 2017,COMMUNICATIONS,"","",40.05
Agrium  inc. - merged with potash,AGU,"",16334.0,1888000.0,0.0155,0.0199,162,-11384.0,-41.070784,reduction,N/A,Q2 2017,MATERIALS,"","",10.23
